Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
08-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Feb18`12,40,Call, $1.82, , $39.78
08-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,NTAP,Feb18`12,40,Put, $2.04, , $39.78
14-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,NTAP,Feb18`12,40,Call, $1.76,-$7, $39.12
14-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,NTAP,Feb18`12,40,Put, $2.68, $64, $39.12
16-May-12,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Jun16`12,35,Call, $2.28, , $34.64
16-May-12,Open 7DaysBeforeEarnings:Long Puts,1,NTAP,Jun16`12,35,Put, $2.59, , $34.64
22-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,NTAP,Jun16`12,35,Call, $1.48,-$81, $33.3
22-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,NTAP,Jun16`12,35,Put, $3.3, $71, $33.3
08-Aug-12,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Aug18`12,33,Call, $1.5, , $32.98
08-Aug-12,Open 7DaysBeforeEarnings:Long Puts,1,NTAP,Aug18`12,33,Put, $1.54, , $32.98
14-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,NTAP,Aug18`12,33,Call, $0.92,-$59, $31.42
14-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,NTAP,Aug18`12,33,Put, $2.46, $92, $31.42
07-Nov-12,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Nov17`12,28,Call, $1.23, , $27.73
07-Nov-12,Open 7DaysBeforeEarnings:Long Puts,1,NTAP,Nov17`12,28,Put, $1.44, , $27.73
13-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,NTAP,Nov17`12,28,Call, $0.74,-$50, $26.33
13-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,NTAP,Nov17`12,28,Put, $2.4, $96, $26.33
06-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Feb16`13,36,Call, $1.65, , $36.11
06-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,NTAP,Feb16`13,36,Put, $1.54, , $36.11
12-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,NTAP,Feb16`13,36,Call, $1.36,-$30, $35.41
12-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,NTAP,Feb16`13,36,Put, $1.95, $41, $35.41
14-May-13,Open 7DaysBeforeEarnings:Long Calls,1,NTAP,Jun22`13,36,Call, $1.68, , $35.78
