Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
18-Jan-12,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Feb18`12,77.5,Call, $2.05, , $77.6
18-Jan-12,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Feb18`12,77.5,Put, $2.28, , $77.6
24-Jan-12,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Feb18`12,77.5,Call, $1.74,-$32, $77.78
24-Jan-12,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Feb18`12,77.5,Put, $1.8,-$48, $77.78
17-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,UTX,May19`12,82.5,Call, $1.49, , $81.24
17-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,UTX,May19`12,82.5,Put, $3.05, , $81.24
23-Apr-12,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,May19`12,82.5,Call, $0.78,-$72, $79.75
23-Apr-12,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,May19`12,82.5,Put, $3.78, $73, $79.75
19-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Jul27`12,75,Call, $1.62, , $75.82
19-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Jul27`12,75,Put, $0.81, , $75.82
25-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Jul27`12,75,Call, $0.14,-$149, $72.61
25-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Jul27`12,75,Put, $2.72, $191, $72.61
16-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Nov17`12,77.5,Call, $1.65, , $77.6
16-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Nov17`12,77.5,Put, $1.85, , $77.6
22-Oct-12,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Nov17`12,77.5,Call, $1.62,-$4, $77.83
22-Oct-12,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Nov17`12,77.5,Put, $1.76,-$9, $77.83
16-Jan-13,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Feb16`13,85,Call, $1.84, , $85.57
16-Jan-13,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Feb16`13,85,Put, $1.6, , $85.57
22-Jan-13,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Feb16`13,85,Call, $2.93, $108, $87.47
22-Jan-13,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Feb16`13,85,Put, $0.7,-$90, $87.47
16-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,UTX,May18`13,95,Call, $1.68, , $94.51
16-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,UTX,May18`13,95,Put, $2.55, , $94.51
22-Apr-13,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,May18`13,95,Call, $1.04,-$65, $93.63
22-Apr-13,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,May18`13,95,Put, $2.82, $27, $93.63
16-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Aug17`13,100,Call, $1.94, , $99.99
16-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Aug17`13,100,Put, $2.3, , $99.99
22-Jul-13,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Aug17`13,100,Call, $3.15, $120, $102.11
22-Jul-13,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Aug17`13,100,Put, $1.27,-$103, $102.11
15-Oct-13,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Oct25`13,106,Call, $1.86, , $105.8
15-Oct-13,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Oct25`13,106,Put, $1.94, , $105.8
21-Oct-13,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Oct25`13,106,Call, $2.34, $47, $107.62
21-Oct-13,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Oct25`13,106,Put, $0.72,-$122, $107.62
15-Jan-14,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Jan24`14,114,Call, $1.42, , $114.07
15-Jan-14,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Jan24`14,114,Put, $1.36, , $114.07
21-Jan-14,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Jan24`14,114,Call, $1.83, $40, $114.99
21-Jan-14,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Jan24`14,114,Put, $0.75,-$61, $114.99
15-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Apr25`14,116,Call, $1.37, , $115.84
15-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Apr25`14,116,Put, $1.58, , $115.84
21-Apr-14,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Apr25`14,116,Call, $2.76, $138, $118.3
21-Apr-14,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Apr25`14,116,Put, $0.39,-$119, $118.3
15-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Jul25`14,115,Call, $1.19, , $114.84
15-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Jul25`14,115,Put, $1.3, , $114.84
21-Jul-14,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Jul25`14,115,Call, $0.32,-$88, $112.98
21-Jul-14,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Jul25`14,115,Put, $2.32, $102, $112.98
14-Oct-14,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Oct24`14,100,Call, $1.81, , $100.12
14-Oct-14,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Oct24`14,100,Put, $1.64, , $100.12
20-Oct-14,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Oct24`14,100,Call, $2.28, $46, $101.48
20-Oct-14,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Oct24`14,100,Put, $0.7,-$94, $101.48
20-Jan-15,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Jan30`15,118,Call, $1.32, , $117.53
20-Jan-15,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Jan30`15,118,Put, $1.87, , $117.53
23-Jan-15,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Jan30`15,118,Call, $2.75, $142, $119.98
23-Jan-15,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Jan30`15,118,Put, $0.62,-$125, $119.98
14-Apr-15,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Apr24`15,118,Call, $1.34, , $117.69
14-Apr-15,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Apr24`15,118,Put, $1.74, , $117.69
20-Apr-15,Close 1DaysBeforeEarnings:Long Calls,-1,UTX,Apr24`15,118,Call, $0.65,-$70, $116.51
20-Apr-15,Close 1DaysBeforeEarnings:Long Puts,-1,UTX,Apr24`15,118,Put, $2.04, $30, $116.51
14-Jul-15,Open 7DaysBeforeEarnings:Long Calls,1,UTX,Jul24`15,112,Call, $1.18, , $111.51
14-Jul-15,Open 7DaysBeforeEarnings:Long Puts,1,UTX,Jul24`15,112,Put, $1.68, , $111.51
