Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
17-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,ENDP,Mar17`12,35,Call, $1.9, , $35.25
17-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,ENDP,Mar17`12,35,Put, $1.58, , $35.25
23-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,ENDP,Mar17`12,35,Call, $1.42,-$49, $35.02
23-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,ENDP,Mar17`12,35,Put, $1.4,-$18, $35.02
24-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,ENDP,May19`12,35,Call, $1.3, , $34.48
24-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,ENDP,May19`12,35,Put, $1.9, , $34.48
30-Apr-12,Close 1DaysBeforeEarnings:Long Calls,-1,ENDP,May19`12,35,Call, $1.58, $27, $35.14
30-Apr-12,Close 1DaysBeforeEarnings:Long Puts,-1,ENDP,May19`12,35,Put, $1.48,-$42, $35.14
31-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,ENDP,Aug18`12,30,Call, $0.75, , $29.73
31-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,ENDP,Aug18`12,30,Put, $1.02, , $29.73
06-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,ENDP,Aug18`12,30,Call, $0.62,-$14, $29.78
06-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,ENDP,Aug18`12,30,Put, $0.8,-$22, $29.78
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,ENDP,Nov17`12,30,Call, $0.32, , $28.66
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,ENDP,Nov17`12,30,Put, $1.7, , $28.66
02-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,ENDP,Nov17`12,30,Call, $0.5, $17, $29.23
02-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,ENDP,Nov17`12,30,Put, $1.27,-$43, $29.23
21-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,ENDP,Mar16`13,30,Call, $0.8, , $28
21-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,ENDP,Mar16`13,30,Put, $2.82, , $28
27-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,ENDP,Mar16`13,30,Call, $1.6, $79, $30.8
