Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
08-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Feb18`12,27,Call, $0.59, , $27.25
08-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Feb18`12,27,Put, $0.33, , $27.25
14-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Feb18`12,27,Call, $0.5,-$10, $27.25
14-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Feb18`12,27,Put, $0.29,-$4, $27.25
25-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,May19`12,30,Call, $0.51, , $29.65
25-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,May19`12,30,Put, $0.86, , $29.65
01-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,May19`12,30,Call, $1.01, $49, $30.6
01-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,May19`12,30,Put, $0.44,-$42, $30.6
25-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Aug18`12,31,Call, $0.95, , $31.36
25-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Aug18`12,31,Put, $0.68, , $31.36
31-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Aug18`12,31,Call, $1.84, $88, $32.55
31-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Aug18`12,31,Put, $0.27,-$41, $32.55
19-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Nov17`12,37,Call, $0.8, , $36.95
19-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Nov17`12,37,Put, $0.88, , $36.95
25-Oct-12,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Nov17`12,37,Call, $0.53,-$28, $36.36
25-Oct-12,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Nov17`12,37,Put, $1.14, $26, $36.36
05-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Feb16`13,39,Call, $0.94, , $39.24
05-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Feb16`13,39,Put, $0.7, , $39.24
11-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Feb16`13,39,Call, $0.59,-$36, $38.64
11-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Feb16`13,39,Put, $0.94, $24, $38.64
24-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,May18`13,41,Call, $0.72, , $40.67
24-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,May18`13,41,Put, $1.04, , $40.67
30-Apr-13,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,May18`13,41,Call, $1.04, $31, $41.3
30-Apr-13,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,May18`13,41,Put, $0.74,-$30, $41.3
24-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Aug17`13,45,Call, $0.9, , $44.96
24-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Aug17`13,45,Put, $0.98, , $44.96
30-Jul-13,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Aug17`13,45,Call, $0.18,-$73, $42.71
30-Jul-13,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Aug17`13,45,Put, $2.49, $151, $42.71
21-Jan-14,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Jan31`14,53.5,Call, $0.92, , $53.31
21-Jan-14,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Jan31`14,53.5,Put, $1.12, , $53.31
27-Jan-14,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Jan31`14,53.5,Call, $0.43,-$50, $52.49
27-Jan-14,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Jan31`14,53.5,Put, $1.36, $24, $52.49
15-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Apr25`14,48,Call, $1.18, , $48.41
15-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Apr25`14,48,Put, $0.75, , $48.41
21-Apr-14,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Apr25`14,48,Call, $1.95, $76, $49.88
21-Apr-14,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Apr25`14,48,Put, $0.2,-$55, $49.88
15-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Jul25`14,55,Call, $0.8, , $54.89
15-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Jul25`14,55,Put, $0.92, , $54.89
21-Jul-14,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Jul25`14,55,Call, $0.47,-$34, $53.82
21-Jul-14,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Jul25`14,55,Put, $1.81, $89, $53.82
16-Oct-14,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Oct24`14,50,Call, $1.42, , $49.59
16-Oct-14,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Oct24`14,50,Put, $1.8, , $49.59
22-Oct-14,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Oct24`14,50,Call, $1.92, $49, $51.49
22-Oct-14,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Oct24`14,50,Put, $0.36,-$144, $51.49
17-Feb-15,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Feb27`15,59,Call, $0.86, , $58.8
17-Feb-15,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Feb27`15,59,Put, $1.12, , $58.8
23-Feb-15,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Feb27`15,59,Call, $0.47,-$40, $58.21
23-Feb-15,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Feb27`15,59,Put, $1.25, $13, $58.21
27-Apr-15,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,May8`15,59,Call, $1.1, , $58.88
27-Apr-15,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,May8`15,59,Put, $1.23, , $58.88
01-May-15,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,May8`15,59,Call, $0.62,-$49, $58.41
01-May-15,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,May8`15,59,Put, $1.24, $1, $58.41
16-Jul-15,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Jul24`15,64.5,Call, $0.76, , $64.32
16-Jul-15,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Jul24`15,64.5,Put, $0.97, , $64.32
22-Jul-15,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Jul24`15,64.5,Call, $0.83, $6, $64.5
22-Jul-15,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Jul24`15,64.5,Put, $0.78,-$19, $64.5
20-Oct-15,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Oct30`15,61.5,Call, $1.18, , $61.55
20-Oct-15,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Oct30`15,61.5,Put, $1.2, , $61.55
26-Oct-15,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Oct30`15,61.5,Call, $1.57, $38, $62.18
26-Oct-15,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Oct30`15,61.5,Put, $0.85,-$35, $62.18
27-Jan-16,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Feb5`16,54,Call, $1.25, , $54.12
27-Jan-16,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Feb5`16,54,Put, $1.16, , $54.12
02-Feb-16,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Feb5`16,54,Call, $1.32, $6, $54.59
02-Feb-16,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Feb5`16,54,Put, $0.66,-$50, $54.59
20-Apr-16,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Apr29`16,61.5,Call, $1.04, , $61.46
20-Apr-16,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Apr29`16,61.5,Put, $1.09, , $61.46
26-Apr-16,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Apr29`16,61.5,Call, $0.75,-$30, $61.05
26-Apr-16,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Apr29`16,61.5,Put, $1.28, $19, $61.05
20-Jul-16,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Jul29`16,67,Call, $1.16, , $67.12
20-Jul-16,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Jul29`16,67,Put, $1.03, , $67.12
26-Jul-16,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Jul29`16,67,Call, $0.94,-$23, $67.18
26-Jul-16,Close 1DaysBeforeEarnings:Long Puts,-1,CMCSA,Jul29`16,67,Put, $0.77,-$26, $67.18
19-Oct-16,Open 7DaysBeforeEarnings:Long Calls,1,CMCSA,Oct28`16,65,Call, $1.06, , $64.91
19-Oct-16,Open 7DaysBeforeEarnings:Long Puts,1,CMCSA,Oct28`16,65,Put, $1.2, , $64.91
25-Oct-16,Close 1DaysBeforeEarnings:Long Calls,-1,CMCSA,Oct28`16,65,Call, $0.72,-$35, $64.52
