Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
09-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Feb18`12,45,Call, $1.08, , $45.02
09-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Feb18`12,45,Put, $0.98, , $45.02
15-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Feb18`12,45,Call, $1.4, $31, $45.75
15-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Feb18`12,45,Put, $0.78,-$20, $45.75
01-May-12,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,May19`12,55,Call, $0.75, , $54.12
01-May-12,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,May19`12,55,Put, $1.58, , $54.12
07-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,May19`12,55,Call, $0.82, $6, $54.08
07-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,May19`12,55,Put, $1.75, $17, $54.08
24-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Aug18`12,50,Call, $1.1, , $49.1
24-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Aug18`12,50,Put, $2.02, , $49.1
30-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Aug18`12,50,Call, $2.2, $109, $50.93
30-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Aug18`12,50,Put, $1.08,-$94, $50.93
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Nov17`12,60,Call, $1.2, , $59.02
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Nov17`12,60,Put, $2.17, , $59.02
05-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Nov17`12,60,Call, $1.32, $11, $59.45
05-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Nov17`12,60,Put, $1.95,-$22, $59.45
07-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Feb16`13,70,Call, $1.7, , $70.62
07-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Feb16`13,70,Put, $1.2, , $70.62
13-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Feb16`13,70,Call, $2.08, $37, $71.52
13-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Feb16`13,70,Put, $0.68,-$52, $71.52
30-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,May18`13,80,Call, $1.52, , $78.82
30-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,May18`13,80,Put, $2.72, , $78.82
06-May-13,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,May18`13,80,Call, $1.38,-$15, $79.02
06-May-13,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,May18`13,80,Put, $2.35,-$37, $79.02
23-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Aug17`13,85,Call, $2.12, , $85.01
23-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Aug17`13,85,Put, $2.1, , $85.01
29-Jul-13,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Aug17`13,85,Call, $1.82,-$31, $84.41
29-Jul-13,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Aug17`13,85,Put, $2.42, $32, $84.41
24-Oct-13,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Nov16`13,85,Call, $2.12, , $84.95
24-Oct-13,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Nov16`13,85,Put, $2.08, , $84.95
30-Oct-13,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Nov16`13,85,Call, $1.78,-$35, $84.36
30-Oct-13,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Nov16`13,85,Put, $2.35, $27, $84.36
06-Feb-14,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Feb22`14,80,Call, $3.15, , $81.94
06-Feb-14,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Feb22`14,80,Put, $1.2, , $81.94
12-Feb-14,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Feb22`14,80,Call, $3.35, $19, $82.86
12-Feb-14,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Feb22`14,80,Put, $0.68,-$52, $82.86
29-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,May17`14,75,Call, $2.3, , $75.7
29-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,May17`14,75,Put, $1.55, , $75.7
05-May-14,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,May17`14,75,Call, $3.65, $134, $77.77
05-May-14,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,May17`14,75,Put, $0.82,-$73, $77.77
24-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Aug16`14,85,Call, $1.32, , $82.88
24-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Aug16`14,85,Put, $3.45, , $82.88
30-Jul-14,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Aug16`14,85,Call, $1.4, $7, $83.71
30-Jul-14,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Aug16`14,85,Put, $2.72,-$73, $83.71
28-Oct-14,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Nov22`14,35,Call, $2.78, , $37.24
28-Oct-14,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Nov22`14,35,Put, $0.5, , $37.24
03-Nov-14,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Nov22`14,35,Call, $1.45,-$134, $35.67
03-Nov-14,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Nov22`14,35,Put, $0.77, $27, $35.67
12-Feb-15,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Feb20`15,30,Call, $0.9, , $30.35
12-Feb-15,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Feb20`15,30,Put, $0.52, , $30.35
18-Feb-15,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Feb20`15,30,Call, $1.27, $36, $30.9
18-Feb-15,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Feb20`15,30,Put, $0.43,-$9, $30.9
28-Apr-15,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,May15`15,30,Call, $2.15, , $31.7
28-Apr-15,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,May15`15,30,Put, $0.35, , $31.7
04-May-15,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,May15`15,30,Call, $3.45, $129, $33.37
04-May-15,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,May15`15,30,Put, $0.08,-$27, $33.37
29-Jul-15,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Aug21`15,32.5,Call, $0.62, , $31.61
29-Jul-15,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Aug21`15,32.5,Put, $1.52, , $31.61
04-Aug-15,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Aug21`15,32.5,Call, $1.1, $47, $32.86
04-Aug-15,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Aug21`15,32.5,Put, $0.8,-$72, $32.86
27-Oct-15,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Nov20`15,30,Call, $0.55, , $28.78
27-Oct-15,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Nov20`15,30,Put, $1.88, , $28.78
02-Nov-15,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Nov20`15,30,Call, $1.05, $49, $30.06
02-Nov-15,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Nov20`15,30,Put, $1,-$88, $30.06
11-Feb-16,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,Feb19`16,25,Call, $0.82, , $24.33
11-Feb-16,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,Feb19`16,25,Put, $1.4, , $24.33
17-Feb-16,Close 1DaysBeforeEarnings:Long Calls,-1,DISCA,Feb19`16,25,Call, $2, $117, $26.71
17-Feb-16,Close 1DaysBeforeEarnings:Long Puts,-1,DISCA,Feb19`16,25,Put, $0.38,-$102, $26.71
28-Apr-16,Open 7DaysBeforeEarnings:Long Calls,1,DISCA,May20`16,27.5,Call, $1.4, , $28.15
28-Apr-16,Open 7DaysBeforeEarnings:Long Puts,1,DISCA,May20`16,27.5,Put, $0.77, , $28.15
