Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
18-Jan-12,Open 7DaysBeforeEarnings:Long Calls,1,BA,Feb18`12,75,Call, $1.95, , $75.06
18-Jan-12,Open 7DaysBeforeEarnings:Long Puts,1,BA,Feb18`12,75,Put, $2.25, , $75.06
24-Jan-12,Close 1DaysBeforeEarnings:Long Calls,-1,BA,Feb18`12,75,Call, $2.04, $8, $75.36
24-Jan-12,Close 1DaysBeforeEarnings:Long Puts,-1,BA,Feb18`12,75,Put, $1.99,-$26, $75.36
18-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,BA,May19`12,72.5,Call, $2.54, , $73.71
18-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,BA,May19`12,72.5,Put, $1.65, , $73.71
24-Apr-12,Close 1DaysBeforeEarnings:Long Calls,-1,BA,May19`12,72.5,Call, $2.05,-$50, $73.21
24-Apr-12,Close 1DaysBeforeEarnings:Long Puts,-1,BA,May19`12,72.5,Put, $1.59,-$6, $73.21
18-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,BA,Aug18`12,75,Call, $1.28, , $73.89
18-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,BA,Aug18`12,75,Put, $2.66, , $73.89
24-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,BA,Aug18`12,75,Call, $0.8,-$49, $72.03
24-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,BA,Aug18`12,75,Put, $4.05, $139, $72.03
17-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,BA,Nov17`12,72.5,Call, $2.13, , $73.63
17-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,BA,Nov17`12,72.5,Put, $1.32, , $73.63
23-Oct-12,Close 1DaysBeforeEarnings:Long Calls,-1,BA,Nov17`12,72.5,Call, $1.8,-$34, $72.82
23-Oct-12,Close 1DaysBeforeEarnings:Long Puts,-1,BA,Nov17`12,72.5,Put, $1.71, $39, $72.82
23-Jan-13,Open 7DaysBeforeEarnings:Long Calls,1,BA,Feb16`13,75,Call, $1.19, , $74.29
23-Jan-13,Open 7DaysBeforeEarnings:Long Puts,1,BA,Feb16`13,75,Put, $2.26, , $74.29
29-Jan-13,Close 1DaysBeforeEarnings:Long Calls,-1,BA,Feb16`13,75,Call, $0.88,-$32, $73.65
