Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
14-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Mar17`12,39,Call, $0.47, , $38.5
14-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Mar17`12,39,Put, $0.96, , $38.5
21-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Mar17`12,39,Call, $0.27,-$21, $38.57
21-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Mar17`12,39,Put, $0.72,-$24, $38.57
26-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,May19`12,39,Call, $0.5, , $39
26-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,May19`12,39,Put, $0.52, , $39
02-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,May19`12,39,Call, $0.98, $47, $39.7
02-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,May19`12,39,Put, $0.32,-$20, $39.7
26-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Aug18`12,39,Call, $0.94, , $39.38
26-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Aug18`12,39,Put, $0.51, , $39.38
01-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Aug18`12,39,Call, $0.88,-$7, $39.39
01-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Aug18`12,39,Put, $0.53, $2, $39.39
31-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Nov17`12,27,Call, $0.24, , $26.55
31-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Nov17`12,27,Put, $0.66, , $26.55
06-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Nov17`12,27,Call, $0.18,-$7, $26.49
06-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Nov17`12,27,Put, $0.68, $2, $26.49
06-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Feb16`13,28,Call, $0.3, , $28
06-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Feb16`13,28,Put, $0.33, , $28
12-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Feb16`13,28,Call, $0.22,-$9, $27.68
12-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Feb16`13,28,Put, $0.52, $19, $27.68
30-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,May18`13,32,Call, $0.55, , $31.45
30-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,May18`13,32,Put, $1.12, , $31.45
06-May-13,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,May18`13,32,Call, $0.48,-$8, $31.15
06-May-13,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,May18`13,32,Put, $1.32, $20, $31.15
31-Jul-13,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Aug17`13,31,Call, $0.94, , $31.27
31-Jul-13,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Aug17`13,31,Put, $0.65, , $31.27
06-Aug-13,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Aug17`13,31,Call, $1.27, $32, $31.86
06-Aug-13,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Aug17`13,31,Put, $0.44,-$21, $31.86
30-Oct-13,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Nov16`13,34,Call, $0.7, , $33.84
30-Oct-13,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Nov16`13,34,Put, $0.86, , $33.84
05-Nov-13,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Nov16`13,34,Call, $0.48,-$23, $33.44
05-Nov-13,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Nov16`13,34,Put, $1, $14, $33.44
05-Feb-14,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Feb22`14,32,Call, $0.75, , $32.09
05-Feb-14,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Feb22`14,32,Put, $0.64, , $32.09
11-Feb-14,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Feb22`14,32,Call, $1.46, $70, $33.28
11-Feb-14,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,Feb22`14,32,Put, $0.19,-$45, $33.28
30-Apr-14,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,May17`14,36,Call, $0.46, , $35.65
30-Apr-14,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,May17`14,36,Put, $0.8, , $35.65
06-May-14,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,May17`14,36,Call, $0.24,-$23, $35.22
06-May-14,Close 1DaysBeforeEarnings:Long Puts,-1,MDLZ,May17`14,36,Put, $1.01, $21, $35.22
30-Jul-14,Open 7DaysBeforeEarnings:Long Calls,1,MDLZ,Aug16`14,37,Call, $0.66, , $36.97
30-Jul-14,Open 7DaysBeforeEarnings:Long Puts,1,MDLZ,Aug16`14,37,Put, $0.68, , $36.97
05-Aug-14,Close 1DaysBeforeEarnings:Long Calls,-1,MDLZ,Aug16`14,37,Call, $0.29,-$38, $35.96
