Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
12-Jul-17,Open 7DaysBeforeEarnings:Long Calls,1,AA,Jul21`17,35,Call, $1.1, , $34.6
12-Jul-17,Open 7DaysBeforeEarnings:Long Puts,1,AA,Jul21`17,35,Put, $1.52, , $34.6
18-Jul-17,Close 1DaysBeforeEarnings:Long Calls,-1,AA,Jul21`17,35,Call, $1.9, $79, $36.43
18-Jul-17,Close 1DaysBeforeEarnings:Long Puts,-1,AA,Jul21`17,35,Put, $0.55,-$97, $36.43
11-Oct-17,Open 7DaysBeforeEarnings:Long Calls,1,AA,Oct20`17,47,Call, $1.5, , $46.94
11-Oct-17,Open 7DaysBeforeEarnings:Long Puts,1,AA,Oct20`17,47,Put, $1.55, , $46.94
17-Oct-17,Close 1DaysBeforeEarnings:Long Calls,-1,AA,Oct20`17,47,Call, $1.62, $11, $47.77
17-Oct-17,Close 1DaysBeforeEarnings:Long Puts,-1,AA,Oct20`17,47,Put, $0.9,-$65, $47.77
