Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
14-Feb-12,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Mar17`12,57.5,Call, $1.75, , $56.77
14-Feb-12,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Mar17`12,57.5,Put, $2.55, , $56.77
21-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Mar17`12,57.5,Call, $1.95, $19, $57.52
21-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Mar17`12,57.5,Put, $1.98,-$57, $57.52
10-May-12,Open 7DaysBeforeEarnings:Long Calls,1,INTU,May19`12,55,Call, $1.55, , $55.43
10-May-12,Open 7DaysBeforeEarnings:Long Puts,1,INTU,May19`12,55,Put, $1.2, , $55.43
16-May-12,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,May19`12,55,Call, $1.2,-$36, $55.1
16-May-12,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,May19`12,55,Put, $1.02,-$18, $55.1
14-Aug-12,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Sep22`12,57.5,Call, $2.22, , $58.02
14-Aug-12,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Sep22`12,57.5,Put, $1.72, , $58.02
20-Aug-12,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Sep22`12,57.5,Call, $3.05, $82, $59.35
20-Aug-12,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Sep22`12,57.5,Put, $1.2,-$52, $59.35
08-Nov-12,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Nov17`12,60,Call, $1.18, , $59.82
08-Nov-12,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Nov17`12,60,Put, $1.25, , $59.82
14-Nov-12,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Nov17`12,60,Call, $0.45,-$74, $58.47
14-Nov-12,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Nov17`12,60,Put, $1.95, $70, $58.47
14-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Mar16`13,60,Call, $1.95, , $60.76
14-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Mar16`13,60,Put, $1.2, , $60.76
20-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Mar16`13,60,Call, $2.42, $46, $61.42
20-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Mar16`13,60,Put, $0.88,-$32, $61.42
14-May-13,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Jun22`13,60,Call, $1.45, , $59.11
14-May-13,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Jun22`13,60,Put, $2.3, , $59.11
20-May-13,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Jun22`13,60,Call, $1.62, $16, $59.64
20-May-13,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Jun22`13,60,Put, $2.02,-$28, $59.64
13-Aug-13,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Sep21`13,65,Call, $1.85, , $65
13-Aug-13,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Sep21`13,65,Put, $1.8, , $65
19-Aug-13,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Sep21`13,65,Call, $1.1,-$76, $63.42
19-Aug-13,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Sep21`13,65,Put, $2.65, $85, $63.42
14-Nov-13,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Dec21`13,72.5,Call, $2.25, , $73.16
14-Nov-13,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Dec21`13,72.5,Put, $1.58, , $73.16
20-Nov-13,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Dec21`13,72.5,Call, $2.1,-$16, $73.14
20-Nov-13,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Dec21`13,72.5,Put, $1.45,-$13, $73.14
13-Feb-14,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Feb22`14,70,Call, $1.6, , $70.72
13-Feb-14,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Feb22`14,70,Put, $0.98, , $70.72
19-Feb-14,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Feb22`14,70,Call, $3.7, $209, $73.42
19-Feb-14,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Feb22`14,70,Put, $0.2,-$78, $73.42
13-May-14,Open 7DaysBeforeEarnings:Long Calls,1,INTU,Jun21`14,75,Call, $2.4, , $75.69
13-May-14,Open 7DaysBeforeEarnings:Long Puts,1,INTU,Jun21`14,75,Put, $1.72, , $75.69
19-May-14,Close 1DaysBeforeEarnings:Long Calls,-1,INTU,Jun21`14,75,Call, $3.1, $69, $77.07
19-May-14,Close 1DaysBeforeEarnings:Long Puts,-1,INTU,Jun21`14,75,Put, $1.12,-$60, $77.07
