Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price
31-Jan-12,Open 7DaysBeforeEarnings:Long Calls,1,KO,Feb18`12,67.5,Call, $0.87, , $67.53
31-Jan-12,Open 7DaysBeforeEarnings:Long Puts,1,KO,Feb18`12,67.5,Put, $0.84, , $67.53
06-Feb-12,Close 1DaysBeforeEarnings:Long Calls,-1,KO,Feb18`12,67.5,Call, $1.04, $16, $68.03
06-Feb-12,Close 1DaysBeforeEarnings:Long Puts,-1,KO,Feb18`12,67.5,Put, $0.55,-$29, $68.03
10-Apr-12,Open 7DaysBeforeEarnings:Long Calls,1,KO,Apr21`12,72.5,Call, $0.58, , $72.02
10-Apr-12,Open 7DaysBeforeEarnings:Long Puts,1,KO,Apr21`12,72.5,Put, $1, , $72.02
16-Apr-12,Close 1DaysBeforeEarnings:Long Calls,-1,KO,Apr21`12,72.5,Call, $0.6, $1, $72.44
16-Apr-12,Close 1DaysBeforeEarnings:Long Puts,-1,KO,Apr21`12,72.5,Put, $0.55,-$45, $72.44
10-Jul-12,Open 7DaysBeforeEarnings:Long Calls,1,KO,Jul21`12,77.5,Call, $1.21, , $77.98
10-Jul-12,Open 7DaysBeforeEarnings:Long Puts,1,KO,Jul21`12,77.5,Put, $0.71, , $77.98
16-Jul-12,Close 1DaysBeforeEarnings:Long Calls,-1,KO,Jul21`12,77.5,Call, $0.36,-$86, $76.48
16-Jul-12,Close 1DaysBeforeEarnings:Long Puts,-1,KO,Jul21`12,77.5,Put, $1.48, $77, $76.48
09-Oct-12,Open 7DaysBeforeEarnings:Long Calls,1,KO,Oct20`12,37.5,Call, $1.15, , $38.56
09-Oct-12,Open 7DaysBeforeEarnings:Long Puts,1,KO,Oct20`12,37.5,Put, $0.12, , $38.56
15-Oct-12,Close 1DaysBeforeEarnings:Long Calls,-1,KO,Oct20`12,37.5,Call, $0.82,-$34, $38.13
15-Oct-12,Close 1DaysBeforeEarnings:Long Puts,-1,KO,Oct20`12,37.5,Put, $0.14, $2, $38.13
05-Feb-13,Open 7DaysBeforeEarnings:Long Calls,1,KO,Feb16`13,38.75,Call, $0.19, , $38.14
05-Feb-13,Open 7DaysBeforeEarnings:Long Puts,1,KO,Feb16`13,38.75,Put, $0.82, , $38.14
11-Feb-13,Close 1DaysBeforeEarnings:Long Calls,-1,KO,Feb16`13,38.75,Call, $0.32, $12, $38.61
11-Feb-13,Close 1DaysBeforeEarnings:Long Puts,-1,KO,Feb16`13,38.75,Put, $0.5,-$32, $38.61
09-Apr-13,Open 7DaysBeforeEarnings:Long Calls,1,KO,Apr20`13,41,Call, $0.38, , $40.71
09-Apr-13,Open 7DaysBeforeEarnings:Long Puts,1,KO,Apr20`13,41,Put, $0.66, , $40.71
