Company,Ticker,Index,N,WIN %,Notes
Liberty Media Class A,LMCA,NASDAQ 100,NAN,NAN,
Liberty Media Class C,LMCK,NASDAQ 100,NAN,NAN,
Lam Research,LRCX,NASDAQ 100,24,29.2,
Liberty Ventures,LVNTA,NASDAQ 100,NAN,NAN,
"Marriott International, Inc.",MAR,NASDAQ 100,24,54.2,
"Mattel, Inc.",MAT,NASDAQ 100,24,50,
McDonald's Corporation,MCD,DOW 30,24,41.7,
Microchip Technology,MCHP,NASDAQ 100,24,16.7,
Mondel_z International,MDLZ,NASDAQ 100,24,54.2,
MercadoLibre,MELI,NASDAQ 100,24,54.2,
3M Company,MMM,DOW 30,24,45.8,
Monster Beverage,MNST,NASDAQ 100,24,45.8,
"Merck & Co., Inc.",MRK,DOW 30,22,36.2,
Microsoft Corporation,MSFT,BOTH,24,45.8,
"Micron Technology, Inc.",MU,NASDAQ 100,24,37.5,
Maxim Integrated Products,MXIM,NASDAQ 100,24,25,
"Mylan, Inc.",MYL,NASDAQ 100,24,29.2,
Norwegian Cruise Line Holdings,NCLH,NASDAQ 100,20,55,
Netflix,NFLX,NASDAQ 100,24,45.8,
"Nike, Inc.",NKE,DOW 30,24,50,
"NetApp, Inc.",NTAP,NASDAQ 100,24,41.7,
NetEase,NTES,NASDAQ 100,24,29.2,
Nuance Communications Inc.,NUAN,NASDAQ 100,24,50,
NVIDIA Corp.,NVDA,NASDAQ 100,24,33.3,
NXP Semiconductors,NXPI,NASDAQ 100,24,45.8,
Oracle Corp.,ORCL,NASDAQ 100,24,50,
"O'Reilly Automotive, Inc.",ORLY,NASDAQ 100,24,54.2,
"Paychex, Inc.",PAYX,NASDAQ 100,23,56.5,
PACCAR Inc.,PCAR,NASDAQ 100,24,41.7,
The Priceline Group,BKNG,NASDAQ 100,24,37.5,Namechange
Pfizer Inc.,PFE,DOW 30,23,52.2,
The Procter & Gamble Company,PG,DOW 30,24,58.3,
Perrigo Company plc,PRGO,NASDAQ 100,24,41.7,
PayPal Holdings,PYPL,NASDAQ 100,9,22.2,
"Qualcomm, Inc.",QCOM,NASDAQ 100,24,33.3,
Liberty Interactive,QRTEA,NASDAQ 100,NAN,NAN,
Regeneron Pharmaceuticals,REGN,NASDAQ 100,24,58.3,
Ross Stores Inc.,ROST,NASDAQ 100,24,45.8,
SBA Communications,SBAC,NASDAQ 100,24,29.2,
Starbucks Corp.,SBUX,NASDAQ 100,24,50,
Sears Holdings Corp.,SHLD,NASDAQ 100,24,41.7,
Shire PLC,SHPG,NASDAQ 100,24,41.7,
Sigma-Aldrich Corp.,SIAL,NASDAQ 100,NAN,NAN,bought by mrk
"Sirius XM Radio, Inc.",SIRI,NASDAQ 100,24,50,
SanDisk Corp.,SNDK,NASDAQ 100,NAN,NAN,unknown
Synopsys Inc.,SNPS,NASDAQ 100,24,62.5,
Staples Inc.,SPLS,NASDAQ 100,NAN,NAN,went private
"Stericycle, Inc.",SRCL,NASDAQ 100,24,58.3,
Seagate Technology Holdings,STX,NASDAQ 100,24,41.7,
Skyworks Solutions,SWKS,NASDAQ 100,24,45.8,
Symantec Corp.,SYMC,NASDAQ 100,24,45.8,
AT&T Inc.,T,DOW 30,24,45.8,
T-Mobile US Inc,TMUS,NASDAQ 100,24,29.2,
TripAdvisor,TRIP,NASDAQ 100,24,45.8,
"The Travelers Companies, Inc.",TRV,DOW 30,24,37.5,
Tractor Supply Company,TSCO,NASDAQ 100,24,33.3,
"Tesla Motors, Inc.",TSLA,NASDAQ 100,24,37.5,
Take-Two Interactive Software,TTWO,NASDAQ 100,24,45.8,
"Texas Instruments, Inc.",TXN,NASDAQ 100,24,29.2,
"Ulta Salon, Cosmetics & Fragrance Inc",ULTA,NASDAQ 100,24,70.8,
