Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,2323.159912,2332.239990,2315.280029,2321.959961,2321.959961,1636850000
2012-01-04,2316.530029,2333.290039,2307.560059,2329.709961,2329.709961,1670530000
2012-01-05,2326.580078,2351.449951,2317.520020,2348.979980,2348.979980,1836410000
2012-01-06,2350.679932,2362.580078,2341.639893,2356.169922,2356.169922,1683090000
2012-01-09,2362.530029,2363.479980,2342.340088,2350.649902,2350.649902,1768080000
2012-01-10,2374.260010,2381.429932,2360.979980,2367.379883,2367.379883,1809500000
2012-01-11,2363.689941,2376.580078,2357.530029,2372.250000,2372.250000,1699660000
2012-01-12,2377.340088,2384.260010,2359.919922,2381.989990,2381.989990,1669550000
2012-01-13,2371.419922,2373.500000,2352.760010,2371.979980,2371.979980,1655960000
2012-01-17,2396.139893,2404.080078,2385.790039,2393.239990,2393.239990,1664210000
2012-01-18,2396.629883,2425.959961,2395.429932,2425.959961,2425.959961,1968940000
2012-01-19,2435.139893,2445.590088,2433.030029,2441.699951,2441.699951,1959950000
2012-01-20,2428.659912,2438.250000,2428.350098,2437.020020,2437.020020,1949660000
2012-01-23,2437.060059,2455.219971,2424.290039,2437.219971,2437.219971,1652940000
2012-01-24,2426.860107,2440.199951,2423.239990,2433.959961,2433.959961,1620690000
2012-01-25,2456.550049,2470.580078,2440.570068,2465.659912,2465.659912,1918040000
2012-01-26,2474.050049,2479.310059,2444.830078,2454.629883,2454.629883,1998970000
2012-01-27,2450.379883,2467.459961,2449.830078,2461.770020,2461.770020,1707350000
2012-01-30,2438.520020,2468.570068,2433.629883,2465.320068,2465.320068,1668970000
2012-01-31,2476.649902,2481.510010,2453.050049,2467.949951,2467.949951,1786550000
2012-02-01,2481.620117,2497.310059,2474.290039,2488.179932,2488.179932,2125720000
2012-02-02,2495.080078,2504.159912,2487.149902,2495.830078,2495.830078,1913430000
2012-02-03,2518.860107,2532.260010,2514.989990,2529.169922,2529.169922,2152890000
2012-02-06,2519.330078,2528.300049,2513.510010,2528.300049,2528.300049,1684490000
2012-02-07,2522.790039,2537.639893,2514.899902,2532.060059,2532.060059,1784580000
2012-02-08,2533.479980,2545.840088,2523.879883,2545.719971,2545.719971,1981150000
2012-02-09,2553.629883,2567.280029,2541.199951,2563.929932,2563.929932,2153090000
2012-02-10,2543.860107,2553.100098,2537.989990,2547.320068,2547.320068,1787640000
2012-02-13,2564.929932,2572.639893,2554.290039,2569.489990,2569.489990,1619980000
2012-02-14,2561.600098,2575.239990,2553.949951,2575.239990,2575.239990,1881630000
2012-02-15,2584.949951,2600.959961,2552.560059,2556.010010,2556.010010,2038980000
2012-02-16,2555.550049,2594.709961,2551.350098,2592.290039,2592.290039,1945230000
2012-02-17,2587.219971,2593.560059,2572.820068,2584.239990,2584.239990,1973900000
2012-02-21,2589.209961,2601.739990,2574.320068,2590.239990,2590.239990,1821540000
2012-02-22,2586.320068,2593.050049,2575.310059,2579.780029,2579.780029,1706310000
2012-02-23,2578.909912,2598.100098,2570.070068,2594.929932,2594.929932,1768390000
